what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1367878087385
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1367878087386
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1367878099324
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1367878102912
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1367878103795
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367878109622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367878112186
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367878113731
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367878114057
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367878117782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367878119520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367878165940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367878169174
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367878169575
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1367878181249
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367878192575
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367878192644
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.editor",1367878192716
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367878222944
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1367878223061
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367878223904
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367878224216
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1367878226704
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1367878226754
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1367878226924
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1367878226928
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1367878226993
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1367878226994
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1367878227107
started,bundle,org.eclipse.dltk.validators.ui,3.0.0.v20110423,"org.eclipse.dltk.validators.ui",1367878227153
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1367878229839
started,bundle,org.eclipse.wst.common.environment,1.0.400.v200912181832,"org.eclipse.wst.common.environment",1367878229839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367878230010
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367878232655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367878233924
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367878235910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367878237597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367878238369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367878239000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367878254578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367878256857
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367878262912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367878264589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367878269569
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367878270403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367878271210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367878450133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367878450812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367878483958
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367878485394
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367879231030
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367879233019
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367879233020
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1367879233049
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367879233580
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367879233681
