what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367702593963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702595279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702602254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702605350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702607104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702607796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702609926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702610453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702610854
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702611583
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702612592
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367702615982
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367702616142
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367702616302
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367702616454
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367702616598
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367702616758
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367702617094
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1367702617911
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367702621832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702622584
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702627815
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702629390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702631940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702634188
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702635214
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1367702646397
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1367702652667
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1367702653965
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1367702664872
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1367702665756
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1367702691612
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1367702694442
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1367702695548
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1367702696676
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1367702696868
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1367702697671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367702700030
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702701675
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702703879
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702704841
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702707675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702712777
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702879154
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1367702881905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702882575
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showInformation",1367702882596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702909107
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367702911371
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367702911547
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367702911723
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367702911883
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367702912051
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367702912419
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367702913723
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367702913907
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367702914091
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367702914251
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367702914451
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367702916755
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367702922187
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1367702922963
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367702926573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702928058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702934438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702938771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702972321
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702992410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702994647
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367702995265
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367702997096
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367703010801
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367703017031
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367703017191
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367703017407
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367703017751
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367703019343
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367703019527
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367703019695
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367703019879
