what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367728066799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367728070974
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367728076682
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367728083262
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367728085846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367728089852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367728110525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367728112538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367728116654
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367728123822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367728124243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367728132968
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367728135865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367728136288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367728146136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367728152937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367728232709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367728235093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367728240189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367728243430
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1367728245967
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367728246069
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1367728246424
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367728247315
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367728253844
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367728254004
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367728254147
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367728254316
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367728254660
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367728261238
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367728264378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367728271145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367728272195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367728277086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367728279547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367728285414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367728286627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367728290014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367728290876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367728426090
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1367728430831
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367728431208
