what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367883552742
activated,editor,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui.internal.editors.PersistenceEditor",1367883555699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367883562091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367883569443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367883570900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367883571885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367883573486
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367883641239
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1367883643467
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367883647790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367883690849
error,log,,,"GlassFish: deploy is failing=",1367883692638
error,log,,,"cannot Deploy Web",1367883692702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367883692721
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367883694659
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1367883697772
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1367883699868
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1367883700940
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1367883707387
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1367883708965
error,log,,,"GlassFish: deploy is failing=",1367883711088
error,log,,,"cannot Deploy Web",1367883711184
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367883711217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367883714989
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1367883716346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367883719217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367883745357
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1367883753745
activated,editor,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui.internal.editors.PersistenceEditor",1367883769420
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1367883773086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367883773873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367883776136
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367883776244
closed,editor,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui.internal.editors.PersistenceEditor",1367883776244
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1367883776251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367883778958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367883780579
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367883780676
