what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367707449648
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367707455888
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367707462910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367707498316
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367707500452
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367707500628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367707505431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367707512541
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367707517500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367707528250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367707532455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367707537276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367707538403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367707539804
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367707547274
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1367707547546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367707548862
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367707550875
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367707550876
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1367707550914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367707561074
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367707585772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367707591080
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367707594322
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.moveLineUp",1367707595691
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.moveLineUp",1367707595975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367707597133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367707598389
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.moveLineUp",1367707599179
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367707599792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367707601908
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.moveLineUp",1367707603859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367707604549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367707607408
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367707609278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367707610904
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.moveLineDown",1367707611587
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1367707621913
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1367707622088
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1367707622658
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1367707623666
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367707646223
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367707648755
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367707648950
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367707649110
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.moveLineDown",1367707649521
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.moveLineUp",1367707650154
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1367707651432
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1367707652218
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1367707652654
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1367707653038
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1367707653565
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367707660696
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367707662944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367707695026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367707702632
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1367707704295
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1367707706805
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1367707711694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1367707719278
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1367707728519
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367707729018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367707778700
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1367707780635
