what,kind,bundleId,bundleVersion,description,time
error,log,,,"GlassFish: error ",1367899401371
error,log,,,"GlassFish: deploy is failing=",1367899401371
error,log,,,"cannot Deploy Web",1367899401372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899401539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899403507
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1367899404469
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.debug",1367899406536
error,log,,,"GlassFish: error ",1367899406538
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1367899410865
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1367899416276
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.stop",1367899419057
error,log,,,"GlassFish: error ",1367899419061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899421009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899421542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899421801
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899422942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899422993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899423462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899424042
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.debug",1367899451631
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1367899452385
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1367899469742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899529276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899530325
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899589873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899590518
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899591231
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1367899592387
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899595461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899596339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899596856
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899598413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899599489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899601169
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367899606009
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1367899606278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899606808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899607944
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1367899614586
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.debug",1367899617158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899619039
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1367899620364
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1367899634415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899644454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899645015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899649826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899651863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899657069
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1367899658245
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367899666414
