what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.datatools.sqltools.plan,1.0.0.v201107221520,"org.eclipse.datatools.sqltools.plan.planView",1367881411493
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1367881412980
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1367881412991
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1367881416996
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367881418972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367881544245
opened,editor,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui.internal.editors.PersistenceEditor",1367881548457
activated,editor,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui.internal.editors.PersistenceEditor",1367881548503
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367881551080
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367881593707
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367881598322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367882105755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367882110621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367882146168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367882146926
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367882147292
activated,perspective,org.eclipse.datatools.sqltools.sqleditor,1.0.2.v201107221520,"org.eclipse.datatools.sqltools.sqleditor.perspectives.EditorPerspective",1367882148685
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1367882150448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367882154964
error,log,,,"java.sql.SQLException",1367882167752
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882167753
error,log,,,"java.sql.SQLException",1367882167755
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882167756
error,log,,,"java.sql.SQLException",1367882167783
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882167825
error,log,,,"java.sql.SQLException",1367882170712
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882170712
error,log,,,"java.sql.SQLException",1367882170714
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882170715
error,log,,,"java.sql.SQLException",1367882170717
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882170734
error,log,,,"java.sql.SQLException",1367882170735
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882170736
error,log,,,"java.sql.SQLException",1367882170742
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882170742
error,log,,,"java.sql.SQLException",1367882170744
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882170745
error,log,,,"java.sql.SQLException",1367882170746
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882170747
error,log,,,"java.sql.SQLException",1367882170748
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882170749
error,log,,,"java.sql.SQLException",1367882170751
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882170751
error,log,,,"java.sql.SQLException",1367882170752
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882170760
error,log,,,"java.sql.SQLException",1367882170762
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882170763
error,log,,,"java.sql.SQLException",1367882170764
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882170765
error,log,,,"java.sql.SQLException",1367882170767
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882170769
error,log,,,"java.sql.SQLException",1367882170771
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882170771
error,log,,,"java.sql.SQLException",1367882170773
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882170778
error,log,,,"java.sql.SQLException",1367882170780
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882170780
error,log,,,"java.sql.SQLException",1367882170794
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882170795
error,log,,,"java.sql.SQLException",1367882170797
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882170797
error,log,,,"java.sql.SQLException",1367882170799
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882170799
error,log,,,"java.sql.SQLException",1367882171051
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882171051
error,log,,,"java.sql.SQLException",1367882171054
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882171054
error,log,,,"java.sql.SQLException",1367882171063
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882171063
error,log,,,"java.sql.SQLException",1367882171066
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882171066
error,log,,,"java.sql.SQLException",1367882171068
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882171072
error,log,,,"java.sql.SQLException",1367882171074
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882171074
error,log,,,"java.sql.SQLException",1367882171076
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882171076
error,log,,,"java.sql.SQLException",1367882171078
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882171078
error,log,,,"java.sql.SQLException",1367882171080
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882171081
error,log,,,"java.sql.SQLException",1367882171082
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882171108
error,log,,,"java.sql.SQLException",1367882171111
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882171111
error,log,,,"java.sql.SQLException",1367882171114
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882171116
error,log,,,"java.sql.SQLException",1367882171119
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882171119
error,log,,,"java.sql.SQLException",1367882171121
error,log,,,"###Error..org.eclipse.datatools.connectivity.internal.derby.catalog.DerbyCatalogProcedure.load",1367882171121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367882232521
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367882250774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367882268147
started,bundle,org.eclipse.datatools.sqltools.tabledataeditor,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.tabledataeditor",1367882272037
started,bundle,org.eclipse.datatools.sqltools.data.ui,1.2.1.v201010270945,"org.eclipse.datatools.sqltools.data.ui",1367882272077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367882306393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367882307640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1367882307686
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1367882313221
activated,editor,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui.internal.editors.PersistenceEditor",1367882313240
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1367882320012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367882329036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367882398498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367882404301
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367882454249
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1367882462873
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367882467536
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367882467625
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1367882473255
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1367882491042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367882497868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367882500047
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367882500931
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367882501299
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1367882501587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367882502418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367882517490
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367882526879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367882528790
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1367882533843
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367882534153
